No.,Headword,Group
38028,mural,M
38029,murder,M
38030,murderer,M
38031,murderess,M
38032,murderous,M
38033,murderously,M
38034,Muriel,M
38035,murk,M
38036,murky,M
38037,murmur,M
38038,murphy-s-law,M
38039,murram,M
38040,Murray,M
38041,Murrayfield,M
38042,Muscadet,M
38043,muscat,M
38044,muscatel,M
38045,muscle,M
38046,muscle-bound,M
38047,muscled,M
38048,muscle in,M
38049,muscle-in,M
38050,muscleman,M
38051,muscovado,M
38052,muscular,M
38053,muscular dystrophy,M
38054,muscular-dystrophy,M
38055,musculature,M
38056,muse,M
38057,museum,M
38058,museum piece,M
38059,museum-piece,M
38060,mush,M
38061,mushaira,M
38062,musher,M
38063,mushroom,M
38064,mushroom cloud,M
38065,mushroom-cloud,M
38066,mushy,M
38067,mushy peas,M
38068,mushy-peas,M
38069,music,M
38070,musical,M
38071,musical box,M
38072,musical bumps,M
38073,musical-bumps,M
38074,musical chairs,M
38075,musical-chairs,M
38076,musical comedy,M
38077,musical-comedy,M
38078,musical director,M
38079,musical-director,M
38080,musical instrument,M
38081,musical-instrument,M
38082,musicality,M
38083,musically,M
38084,musical saw,M
38085,musical-saw,M
38086,music box,M
38087,music hall,M
38088,music-hall,M
38089,musician,M
38090,musicianship,M
38091,musicologist,M
38092,musicology,M
38093,music stand,M
38094,music-stand,M
38095,music video,M
38096,musing,M
38097,musk,M
38098,musket,M
38099,musketeer,M
38100,musketry,M
38101,musk ox,M
38102,musk-ox,M
38103,muskrat,M
38104,musk rose,M
38105,musk-rose,M
38106,musky,M
38107,Muslim,M
38108,muslin,M
38109,muso,M
38110,muss,M
38111,mussel,M
38112,must,M
38113,mustache,M
38114,mustached,M
38115,mustachioed,M
38116,mustang,M
38117,mustard,M
38118,mustard gas,M
38119,mustard-gas,M
38120,mustard greens,M
38121,mustard-greens,M
38122,muster,M
38123,muster station,M
38124,muster-station,M
38125,musty,M
38126,mutability,M
38127,mutable,M
38128,mutant,M
38129,mutate,M
38130,mutation,M
38131,mutatis mutandis,M
38132,mute,M
38133,mute button,M
38134,mute-button,M
38135,muted,M
38136,mutely,M
38137,muti,M
38138,mutilate,M
38139,mutilation,M
38140,mutineer,M
38141,mutinous,M
38142,mutinously,M
38143,mutiny,M
38144,mutism,M
38145,mutt,M
38146,mutter,M
38147,muttering,M
38148,mutton,M
38149,mutton chops,M
38150,mutual,M
38151,mutual fund,M
38152,mutual-fund,M
38153,mutuality,M
38154,mutually,M
38155,muzaktm,M
38156,Muzak™,M
38157,muzzle,M
38158,muzzy,M
38159,MV,M
38160,MVP,M
38161,MW,M
38162,MWA,M
38163,mwah,M
38164,mwalimu,M
38165,mwananchi,M
38166,my,M
38167,myalgia,M
38168,myalgic,M
38169,myalgic encephalomyelitis,M
38170,Myanmar,M
38171,mycology,M
38172,"My country, 'tis of thee",M
38173,myelin,M
38174,myeloma,M
38175,mynah,M
38176,MYOB,M
38177,myocardial,M
38178,myopia,M
38179,myopic,M
38180,myopically,M
38181,myriad,M
38182,myrrh,M
38183,myrtle,M
38184,myself,M
38185,myspacetm,M
38186,Myspace™,M
38187,mysterious,M
38188,mysteriously,M
38189,mysteriousness,M
38190,mystery,M
38191,mystery play,M
38192,mystery-play,M
38193,mystery shopper,M
38194,mystery-shopper,M
38195,mystery shopping,M
38196,mystery-shopping,M
38197,mystic,M
38198,mystical,M
38199,mystically,M
38200,mysticism,M
38201,mystification,M
38202,mystify,M
38203,mystifying,M
38204,mystique,M
38205,myth,M
38206,mythic,M
38207,mythical,M
38208,mythography,M
38209,mythological,M
38210,mythology,M
38211,myxomatosis,M
38212,mzee,M
38213,mzungu,M
38214,Médoc,M
38215,ménage,M
38216,ménage à trois,M
38217,métier,M
38218,Möbius strip,M
38219,M’lud,M
38220,n.,N
38221,N,N
38222,n/a,N
38223,NAACP,N
38224,NAAFI,N
38225,naan,N
38226,naartjie,N
38227,nab,N
38228,Nabisco,N
38229,nabob,N
38230,nachos,N
38231,nada,N
38232,Nadia,N
38233,nadir,N
38234,nae,N
38235,naff,N
38236,NAFTA,N
38237,nag,N
38238,nagana,N
38239,nagar,N
38240,Nagasaki,N
38241,nagging,N
38242,NAGTY,N
38243,nah,N
38244,Nahuatl,N
38245,nai,N
38246,naiad,N
38247,nail,N
38248,nail bar,N
38249,nail bed,N
38250,nail-bed,N
38251,nail-biter,N
38252,nail-biting,N
38253,nail brush,N
38254,nail clippers,N
38255,nail-clippers,N
38256,nail down,N
38257,nail-down,N
38258,nailed on,N
38259,nailed-on,N
38260,nail file,N
38261,nail-file,N
38262,nail polish,N
38263,nail-polish,N
38264,nail scissors,N
38265,nail-scissors,N
38266,nail up,N
38267,nail-up,N
38268,naive,N
38269,naively,N
38270,naivety,N
38271,naked,N
38272,nakedly,N
38273,nakedness,N
38274,nala,N
38275,Nam,N
38276,namak,N
38277,namaskar,N
38278,namaste,N
38279,namby-pamby,N
38280,name,N
38281,name-calling,N
38282,namecheck,N
38283,name day,N
38284,name-drop,N
38285,name-dropping,N
38286,nameless,N
38287,namely,N
38288,nameplate,N
38289,name recognition,N
38290,name-recognition,N
38291,namesake,N
38292,name tag,N
38293,name-tag,N
38294,name tape,N
38295,name-tape,N
38296,Namibia,N
38297,Namibian,N
38298,namkeen,N
38299,nan,N
38300,nan1,N
38301,nan2,N
38302,nana,N
38303,Nanaimo bar,N
38304,nancy,N
38305,nanny,N
38306,nanny goat,N
38307,nanny-goat,N
38308,nannying,N
38309,nano-,N
38310,nanobot,N
38311,nanometre,N
38312,nanoparticle,N
38313,nanoplastic,N
38314,nanoscale,N
38315,nanoscience,N
38316,nanosecond,N
38317,nanotechnological,N
38318,nanotechnologist,N
38319,nanotechnology,N
38320,Nantucket,N
38321,NAO,N
38322,Naomi,N
38323,nap,N
38324,napa,N
38325,napalm,N
38326,nape,N
38327,nap hand,N
38328,nap-hand,N
38329,naphtha,N
38330,naphthalene,N
38331,napkin,N
38332,nappa,N
38333,nappe,N
38334,nappy,N
38335,nappy rash,N
38336,nappy-rash,N
38337,Napster™,N
38338,NARA,N
38339,narc,N
38340,narcissism,N
38341,narcissist,N
38342,narcissistic,N
38343,narcissus,N
38344,narcolepsy,N
38345,narcosis,N
38346,narcotic,N
38347,nark,N
38348,narked,N
38349,narky,N
38350,Narnia,N
38351,narrate,N
38352,narration,N
38353,narrative,N
38354,narrator,N
38355,narrow,N
38356,narrowband,N
38357,narrowboat,N
38358,narrowcast,N
38359,narrow down,N
38360,narrow-down,N
38361,narrow gauge,N
38362,narrow-gauge,N
38363,narrowly,N
38364,narrow-minded,N
38365,narrow-mindedness,N
38366,narrowness,N
38367,narrows,N
38368,narwhal,N
38369,nary,N
38370,NASA,N
38371,nasal,N
38372,nasalization,N
38373,nasalize,N
38374,NASCAR,N
38375,nascent,N
38376,Nashville,N
38377,NASS,N
38378,nastily,N
38379,nastiness,N
38380,nasturtium,N
38381,nasty,N
38382,Nat,N
38383,natak,N
38384,natal,N
38385,Natalie,N
38386,natality,N
38387,Natasha,N
38388,natch,N
38389,Natchez,N
38390,Nate,N
38391,Nathan,N
38392,Nathaniel,N
38393,nation,N
38394,national,N
38395,national anthem,N
38396,national-anthem,N
38397,national convention,N
38398,national-convention,N
38399,national costume,N
38400,national-costume,N
38401,national debt,N
38402,national-debt,N
38403,national grid,N
38404,national-grid,N
38405,nationalism,N
38406,nationalist,N
38407,nationalistic,N
38408,nationality,N
38409,nationalization,N
38410,nationalize,N
38411,nationally,N
38412,national park,N
38413,national-park,N
38414,national scenic area,N
38415,national-scenic-area,N
38416,national service,N
38417,national-service,N
38418,national trail,N
38419,national-trail,N
38420,nationhood,N
38421,nation state,N
38422,nation-state,N
38423,nationwide,N
38424,native,N
38425,native-american_1,N
38426,native-american_2,N
38427,native speaker,N
38428,native-speaker,N
38429,nativity,N
38430,nativity play,N
38431,nativity-play,N
38432,NATO,N
38433,NATS,N
38434,natter,N
38435,natterjack,N
38436,nattily,N
38437,natty,N
38438,natural,N
38439,natural-born,N
38440,natural childbirth,N
38441,natural-childbirth,N
38442,natural disaster,N
38443,natural-disaster,N
38444,natural gas,N
38445,natural-gas,N
38446,natural history,N
38447,natural-history,N
38448,naturalism,N
38449,naturalist,N
38450,naturalistic,N
38451,naturalization,N
38452,naturalize,N
38453,natural language,N
38454,natural-language,N
38455,natural language processing,N
38456,natural-language-processing,N
38457,natural law,N
38458,natural-law,N
38459,naturally,N
38460,naturalness,N
38461,natural number,N
38462,natural philosophy,N
38463,natural-philosophy,N
38464,natural science,N
38465,natural-science,N
38466,natural selection,N
38467,natural-selection,N
38468,natural wastage,N
38469,nature,N
38470,nature reserve,N
38471,nature-reserve,N
38472,nature strip,N
38473,nature-strip,N
38474,nature trail,N
38475,nature-trail,N
38476,naturism,N
38477,naturist,N
38478,naturopath,N
38479,naturopathic,N
38480,naturopathy,N
38481,NatWest,N
38482,Naugahyde™,N
38483,naught,N
38484,naughtily,N
38485,naughtiness,N
38486,naughty,N
38487,naughty step,N
38488,naughty-step,N
38489,Nauru,N
38490,Nauruan,N
38491,nausea,N
38492,nauseate,N
38493,nauseating,N
38494,nauseatingly,N
38495,nauseous,N
38496,nautical,N
38497,nautical mile,N
38498,nautical-mile,N
38499,nautilus,N
38500,Navajo,N
38501,naval,N
38502,Navaratri,N
38503,nave,N
38504,navel,N
38505,navel-gazing,N
38506,navel orange,N
38507,navel-orange,N
38508,navigability,N
38509,navigable,N
38510,navigate,N
38511,navigation,N
38512,navigational,N
38513,navigation bar,N
38514,navigation-bar,N
38515,navigator,N
38516,navvy,N
38517,navy,N
38518,navy bean,N
38519,navy blue,N
38520,navy-blue_1,N
38521,navy-blue_2,N
38522,naw,N
38523,nawab,N
38524,Naxalite,N
38525,nay,N
38526,naysayer,N
38527,Nazi,N
38528,Nazism,N
38529,NB,N
38530,NBA,N
38531,NBC,N
38532,NBCC,N
38533,NC,N
38534,NC-17,N
38535,NCAA,N
38536,NCL,N
38537,NCO,N
38538,NCT,N
38539,NDE,N
38540,NDP,N
38541,ndugu,N
38542,NE,N
38543,Neanderthal,N
38544,neap tide,N
38545,neap-tide,N
38546,near,N
38547,nearby,N
38548,near-death experience,N
38549,near-death-experience,N
38550,nearly,N
38551,near miss,N
38552,near-miss,N
38553,nearness,N
38554,nearside,N
38555,nearsighted,N
38556,nearsightedness,N
38557,neat,N
38558,neaten,N
38559,neatly,N
38560,neatness,N
38561,nebbish,N
38562,Nebraska,N
38563,nebuchadnezzar,N
38564,nebula,N
38565,nebulizer,N
38566,nebulous,N
38567,NEC,N
38568,necessaries,N
38569,necessarily,N
38570,necessary,N
38571,necessitate,N
38572,necessity,N
38573,neck,N
38574,neckerchief,N
38575,necklace,N
38576,necklacing,N
38577,neckline,N
38578,necktie,N
38579,neckwear,N
38580,necromancer,N
38581,necromancy,N
38582,necrophilia,N
38583,necrophiliac,N
38584,necropolis,N
38585,necropsy,N
38586,necrosis,N
38587,necrotizing fasciitis,N
38588,necrotizing-fasciitis,N
38589,nectar,N
38590,nectarine,N
38591,nee,N
38592,need,N
38593,need-blind,N
38594,needful,N
38595,needle,N
38596,needlecord,N
38597,needlecraft,N
38598,needlepoint,N
38599,needless,N
38600,needlessly,N
38601,needlewoman,N
38602,needlework,N
38603,needn’t,N
38604,needs,N
38605,need-to-know,N
38606,needy,N
38607,neem,N
38608,neep,N
38609,ne-er-do-well,N
38610,NEET,N
38611,nefarious,N
38612,neg.,N
38613,negate,N
38614,negation,N
38615,negative,N
38616,negative equity,N
38617,negative-equity,N
38618,negative gearing,N
38619,negative-gearing,N
38620,negatively,N
38621,negativity,N
38622,negator,N
38623,negging,N
38624,neglect,N
38625,neglected,N
38626,neglectful,N
38627,negligee,N
38628,negligence,N
38629,negligent,N
38630,negligently,N
38631,negligible,N
38632,negotiable,N
38633,negotiate,N
38634,negotiation,N
38635,negotiator,N
38636,Negress,N
38637,negritude,N
38638,Negro,N
38639,Negro spiritual,N
38640,neigh,N
38641,neighbour,N
38642,neighbourhood,N
38643,neighbourhood watch,N
38644,neighbourhood-watch,N
38645,neighbouring,N
38646,neighbourliness,N
38647,neighbourly,N
38648,Neighbours,N
38649,Neil,N
38650,neither,N
38651,Nell,N
38652,Nelly,N
38653,nelson,N
38654,nelson-s-column,N
38655,nematode,N
38656,nemesis,N
38657,neo-,N
38658,neo,N
38659,neoclassical,N
38660,neoclassicism,N
38661,neocolonialism,N
38662,neoconservative,N
38663,neocortex,N
38664,neodymium,N
38665,neoliberal,N
38666,neoliberalism,N
38667,Neolithic,N
38668,neologism,N
38669,neon,N
38670,neonatal,N
38671,neonate,N
38672,neophyte,N
38673,neoplastic,N
38674,neoplasticism,N
38675,neoprene,N
38676,NEPAD,N
38677,Nepal,N
38678,Nepalese,N
38679,nephew,N
38680,ne plus ultra,N
38681,nepotism,N
38682,Neptune,N
38683,neptunium,N
38684,nerd,N
38685,nerdy,N
38686,nerve,N
38687,nerve agent,N
38688,nerve-agent,N
38689,nerve centre,N
38690,nerve gas,N
38691,nerve-gas,N
38692,nerveless,N
38693,nerve-racking,N
38694,nervous,N
38695,nervous breakdown,N
38696,nervous-breakdown,N
38697,nervously,N
38698,nervousness,N
38699,nervous system,N
38700,nervous-system,N
38701,nervy,N
38702,nescafetm,N
38703,Nescafé™,N
38704,-ness,N
38705,ness,N
38706,Nessie,N
38707,nest,N
38708,nest box,N
38709,nest-box,N
38710,nest egg,N
38711,nest-egg,N
38712,nestle,N
38713,nestling,N
38714,Nestlé,N
38715,net,N
38716,neta,N
38717,netball,N
38718,netbook,N
38719,net curtain,N
38720,nether,N
38721,netiquette,N
38722,netizen,N
38723,netminder,N
38724,net neutrality,N
38725,net-neutrality,N
38726,net surfer,N
38727,net-surfer,N
38728,nett,N
38729,netting,N
38730,nettle,N
38731,nettlerash,N
38732,nettlesome,N
38733,network,N
38734,network effect,N
38735,network-effect,N
38736,networker,N
38737,networking,N
38738,network neutrality,N
38739,neural,N
38740,neuralgia,N
38741,neuralgic,N
38742,neural network,N
38743,neural-network,N
38744,neurasthenia,N
38745,neuro-,N
38746,neurobiological,N
38747,neurobiology,N
38748,neurolinguistic programming,N
38749,neurolinguistic-programming,N
38750,neurolinguistics,N
38751,neurological,N
38752,neurologist,N
38753,neurology,N
38754,neuron,N
38755,neurophysiology,N
38756,neuroscience,N
38757,neuroscientist,N
38758,neurosis,N
38759,neurosurgeon,N
38760,neurosurgery,N
38761,neurotic,N
38762,neurotically,N
38763,neurotoxin,N
38764,neurotransmitter,N
38765,neuter,N
38766,neutral,N
38767,neutralist,N
38768,neutrality,N
38769,neutralization,N
38770,neutralize,N
38771,neutrally,N
38772,neutral zone,N
38773,neutral-zone,N
38774,neutrino,N
38775,neutron,N
38776,neutron bomb,N
38777,Nevada,N
38778,never,N
38779,never-ending,N
38780,nevermore,N
38781,never-never land,N
38782,never-never-land,N
38783,nevertheless,N
38784,Nevisian,N
38785,new,N
38786,new-age_1,N
38787,Newark,N
38788,newbie,N
38789,newborn,N
38790,new build,N
38791,new-build,N
38792,Newcastle,N
38793,newcomer,N
38794,newel post,N
38795,newel-post,N
38796,newfangled,N
38797,newfie,N
38798,new-found,N
38799,Newgate,N
38800,newly,N
38801,newly-wed,N
38802,new man,N
38803,new-man,N
38804,Newmarket,N
38805,new media,N
38806,new-media,N
38807,new money,N
38808,new-money,N
38809,new moon,N
38810,new-moon,N
38811,newness,N
38812,Newport,N
38813,Newry,N
38814,news,N
38815,news agency,N
38816,news-agency,N
38817,newsagent,N
38818,newscast,N
38819,newscaster,N
38820,news conference,N
38821,newsdealer,N
38822,news desk,N
38823,news-desk,N
38824,newsfeed,N
38825,newsflash,N
38826,newsgatherer,N
38827,newsgathering,N
38828,newsgroup,N
38829,newsletter,N
38830,newsman,N
38831,Newsnight,N
38832,newspaper,N
38833,newspaperman,N
38834,newspaperwoman,N
38835,newspeak,N
38836,newsprint,N
38837,newsreader,N
38838,newsreel,N
38839,newsroom,N
38840,news-sheet,N
38841,news stand,N
38842,news-stand,N
38843,news ticker,N
38844,Newsweek,N
38845,newswire,N
38846,newswoman,N
38847,newsworthy,N
38848,newsy,N
38849,newt,N
38850,newton,N
38851,new town,N
38852,new-town,N
38853,new variant CJD,N
38854,new wave,N
38855,new-wave,N
38856,new year,N
38857,new-year,N
38858,new-year-s-day,N
38859,new-year-s-eve,N
38860,next,N
38861,next door,N
38862,next-door,N
38863,next of kin,N
38864,next-of-kin,N
38865,next to,N
38866,next tomorrow,N
38867,Next™,N
38868,nexus,N
38869,nez-perce,N
38870,ne’er,N
38871,ne’er-do-well,N
38872,NFC,N
38873,NFL,N
38874,NFT,N
38875,NGfL,N
38876,NGO,N
38877,ngoma,N
38878,NH,N
38879,NHS,N
38880,NI,N
38881,niacin,N
38882,Niamh,N
38883,nib,N
38884,nibble,N
38885,nibble away at,N
38886,nibble-away-at,N
38887,nibblies,N
38888,nibs,N
38889,Nicam,N
38890,Nicaragua,N
38891,Nicaraguan,N
38892,nice,N
38893,nice-looking,N
38894,nicely,N
38895,niceness,N
38896,nicety,N
38897,niche,N
38898,Nicholas,N
38899,nick,N
38900,nickel,N
38901,nickel-and-dime,N
38902,Nickelodeon,N
38903,nicker,N
38904,nickname,N
38905,Nicky,N
38906,Nicola,N
38907,Nicole,N
38908,nicotine,N
38909,nicotinic acid,N
38910,niece,N
38911,Nielsen ratings,N
38912,nifty,N
38913,Nigel,N
38914,Niger,N
38915,Nigeria,N
38916,Nigerian,N
38917,Nigerien,N
38918,niggardly,N
38919,nigger,N
38920,niggle,N
38921,niggling,N
38922,nigh,N
38923,night,N
38924,nightcap,N
38925,nightclothes,N
38926,nightclub,N
38927,night depository,N
38928,night-depository,N
38929,nightdress,N
38930,night duty,N
38931,night-duty,N
38932,nightfall,N
38933,nightgown,N
38934,nightie,N
38935,nightingale,N
38936,nightjar,N
38937,nightlife,N
38938,night light,N
38939,night-long,N
38940,nightly,N
38941,nightmare,N
38942,nightmarish,N
38943,night owl,N
38944,night-owl,N
38945,nights,N
38946,night safe,N
38947,night-safe,N
38948,night school,N
38949,night-school,N
38950,night shift,N
38951,night-shift,N
38952,nightshirt,N
38953,nightspot,N
38954,nightstand,N
38955,nightstick,N
38956,night-time,N
38957,nightwatchman,N
38958,nightwear,N
38959,nihilism,N
38960,nihilist,N
38961,nihilistic,N
38962,Nike™,N
38963,nil,N
38964,nim,N
38965,nimble,N
38966,nimbly,N
38967,nimbostratus,N
38968,nimbus,N
38969,nimby,N
38970,nincompoop,N
38971,nine,N
38972,ninepins,N
38973,nineteen,N
38974,nineteenth,N
38975,ninetieth,N
38976,ninety,N
38977,ning-nong,N
38978,ninja,N
38979,ninny,N
38980,ninth,N
38981,niobium,N
38982,nip,N
38983,nip and tuck,N
38984,nip-and-tuck_1,N
38985,nip off,N
38986,nip-off,N
38987,nipper,N
38988,nipple,N
38989,nippy,N
38990,niqab,N
38991,nirvana,N
38992,Nissen hut,N
38993,nit,N
38994,nite,N
38995,nitpicker,N
38996,nitpicking,N
38997,nitrate,N
38998,nitric acid,N
38999,nitric-acid,N
39000,nitrify,N
39001,nitrite,N
39002,nitrogen,N
39003,nitrogen cycle,N
39004,nitrogen-cycle,N
39005,nitrogen dioxide,N
39006,nitrogen-dioxide,N
39007,nitrogenous,N
39008,nitroglycerine,N
39009,nitrous oxide,N
39010,nitrous-oxide,N
39011,nitwit,N
39012,ni-Vanuatu,N
39013,nivas,N
39014,nix,N
39015,NJ,N
39016,NLP,N
39017,NLRB,N
39018,NME,N
39019,no,N
39020,No.,N
39021,No. 10,N
39022,Noah,N
39023,Noah’s ark,N
39024,nob,N
39025,no-ball,N
39026,nobble,N
39027,nobbling,N
39028,nobelium,N
39029,nobility,N
39030,noble,N
39031,noble gas,N
39032,noble-gas,N
39033,nobleman,N
39034,noble metal,N
39035,noble-metal,N
39036,noble savage,N
39037,noble-savage,N
39038,noblesse oblige,N
39039,noblewoman,N
39040,nobly,N
39041,nobody,N
39042,no-brainer,N
39043,no-claims bonus,N
39044,no-claims-bonus,N
39045,nocturnal,N
39046,nocturnal emission,N
39047,nocturne,N
39048,nod,N
39049,nodal,N
39050,noddle,N
39051,noddytm,N
39052,Noddy™,N
39053,node,N
39054,nod off,N
39055,nod-off,N
39056,nodule,N
39057,Noel,N
39058,noes,N
39059,no-fault,N
39060,no-fly zone,N
39061,no-fly-zone,N
39062,no-frills,N
39063,no-go area,N
39064,no-go-area,N
39065,no-good,N
39066,Noh,N
39067,no-hitter,N
39068,no-hoper,N
39069,noir,N
39070,noise,N
39071,noiseless,N
39072,noiselessly,N
39073,noises off,N
39074,noisily,N
39075,noisome,N
39076,noisy,N
39077,nollie,N
39078,Nollywood,N
39079,nomad,N
39080,nomadic,N
39081,no-man-s-land,N
39082,no man’s land,N
39083,nom de guerre,N
39084,nom de plume,N
39085,nom-de-plume,N
39086,nomenclature,N
39087,nominal,N
39088,nominalize,N
39089,nominally,N
39090,nominate,N
39091,nomination,N
39092,nominative,N
39093,nominee,N
39094,non-,N
39095,non,N
39096,nonagenarian,N
39097,non-aggression,N
39098,nonagon,N
39099,non-alcoholic,N
39100,non-aligned,N
39101,non-alignment,N
39102,non-alphabetic,N
39103,no-name,N
39104,non-appearance,N
39105,non-attendance,N
39106,non-believer,N
39107,non-binary,N
39108,non-binding,N
39109,non-biodegradable,N
39110,nonce,N
39111,nonchalance,N
39112,nonchalant,N
39113,nonchalantly,N
39114,non-citizen,N
39115,non-combatant,N
39116,non-commissioned officer,N
39117,non-commissioned-officer,N
39118,non-committal,N
39119,non-committally,N
39120,non-compliance,N
39121,non compos mentis,N
39122,non-compos-mentis,N
39123,nonconformist,N
39124,nonconformity,N
39125,non-contact sport,N
39126,non-contact-sport,N
39127,non-contributory,N
39128,non-controversial,N
39129,non-cooperation,N
39130,non-count,N
39131,non-custodial,N
39132,non-dairy,N
39133,non-defining,N
39134,non-denominational,N
39135,nondescript,N
39136,non-dom,N
39137,none,N
39138,nonentity,N
39139,non-essential,N
39140,nonet,N
39141,nonetheless,N
39142,non-event,N
39143,non-executive,N
39144,non-existence,N
39145,non-existent,N
39146,non-factive,N
39147,nonfat,N
39148,non-fiction,N
39149,non-finite,N
39150,non-flammable,N
39151,nong,N
39152,non-governmental,N
39153,non-gradable,N
39154,non-human,N
39155,non-identical twin,N
39156,non-identical-twin,N
39157,non-intervention,N
39158,non-interventionism,N
39159,non-interventionist,N
39160,non-invasive,N
39161,non-issue,N
39162,non-judgemental,N
39163,non-linear,N
39164,non-malignant,N
39165,non-native,N
39166,non-negotiable,N
39167,no-no,N
39168,non-observance,N
39169,no-nonsense,N
39170,nonpareil,N
39171,non-partisan,N
39172,non-payment,N
39173,non-person,N
39174,non-player character,N
39175,non-player-character,N
39176,nonplussed,N
39177,non-prescription,N
39178,non-professional,N
39179,nonprofit,N
39180,non-profit,N
39181,non-proliferation,N
39182,non-proprietary,N
39183,non-refoulement,N
39184,non-refundable,N
39185,non-renewable,N
39186,non-resident,N
39187,non-residential,N
39188,non-restrictive,N
39189,non-returnable,N
39190,non-scientific,N
39191,non-sectarian,N
39192,nonsense,N
39193,nonsense word,N
39194,nonsensical,N
39195,non sequitur,N
39196,non-sequitur,N
39197,non-slip,N
39198,non-smoker,N
39199,non-smoking,N
39200,non-specific,N
39201,non-specific urethritis,N
39202,non-specific-urethritis,N
39203,non-standard,N
39204,non-starter,N
39205,non-stick,N
39206,non-stop,N
39207,non-threatening,N
39208,non-toxic,N
39209,non-traditional,N
39210,non-U,N
39211,non-union,N
39212,non-veg,N
39213,non-vegetarian,N
39214,non-verbal,N
39215,non-vintage,N
39216,non-violence,N
39217,non-violent,N
39218,non-white,N
39219,noob,N
39220,noodle,N
39221,nook,N
39222,nooky,N
39223,noon,N
39224,noonday,N
39225,no one,N
39226,no-one,N
39227,noontide,N
39228,noose,N
39229,nope,N
39230,no place,N
39231,no-platforming,N
39232,nor,N
39233,Nora,N
39234,NORAD,N
39235,Nordic,N
39236,Nordic noir,N
39237,Nordic skiing,N
39238,Nordic walking,N
39239,nor'easter,N
39240,nor-easter,N
39241,Norfolk,N
39242,norm,N
39243,normal,N
39244,normal distribution,N
39245,normal-distribution,N
39246,normality,N
39247,normalization,N
39248,normalize,N
39249,normally,N
39250,Norman,N
39251,normative,N
39252,normcore,N
39253,Norn,N
39254,norovirus,N
39255,Norse,N
39256,north,N
39257,Northampton,N
39258,Northamptonshire,N
39259,northbound,N
39260,north-country,N
39261,north-east,N
39262,north-easterly,N
39263,north-eastern,N
39264,north-eastward,N
39265,north-eastwards,N
39266,northerly,N
39267,northern,N
39268,northerner,N
39269,northernmost,N
39270,north-north-east,N
39271,north-north-west,N
39272,north-south,N
39273,Northumberland,N
39274,Northumbria,N
39275,northward,N
39276,northwards,N
39277,north-west,N
39278,north-westerly,N
39279,north-western,N
39280,north-westward,N
39281,north-westwards,N
39282,Norway,N
39283,Norway lobster,N
39284,Norway rat,N
39285,Norwegian,N
39286,Norwich,N
39287,no-score draw,N
39288,nose,N
39289,nose about,N
39290,nose-about,N
39291,nose around,N
39292,nose-around,N
39293,nosebag,N
39294,noseband,N
39295,nosebleed,N
39296,nose cone,N
39297,nose-cone,N
39298,nosedive,N
39299,nose flute,N
39300,nose-flute,N
39301,nosegay,N
39302,nose job,N
39303,nose-job,N
39304,nose out,N
39305,nose-out,N
39306,nose ring,N
39307,nose-ring,N
39308,nose tackle,N
39309,nose-tackle,N
39310,nosey,N
39311,nosh,N
39312,no-show,N
39313,nosh-up,N
39314,no side,N
39315,no-side,N
39316,nosily,N
39317,nosiness,N
39318,no-smoking,N
39319,nosology,N
39320,nostalgia,N
39321,nostalgic,N
39322,nostalgically,N
39323,Nostratic,N
39324,nostril,N
39325,nostrum,N
39326,nosy,N
39327,nosy parker,N
39328,nosy-parker,N
39329,not,N
39330,notable,N
39331,notably,N
39332,not agree with,N
39333,not-agree-with,N
39334,notarize,N
39335,notary,N
39336,notation,N
39337,not care for,N
39338,not-care-for,N
39339,notch,N
39340,note,N
39341,notebook,N
39342,notecard,N
39343,noted,N
39344,note down,N
39345,note-down,N
39346,notelet,N
39347,notepad,N
39348,notepaper,N
39349,noteworthy,N
39350,not-for-profit,N
39351,not hear of,N
39352,not-hear-of,N
39353,nother,N
39354,nothing,N
39355,nothingness,N
39356,notice,N
39357,noticeable,N
39358,noticeably,N
39359,noticeboard,N
39360,notifiable,N
39361,notification,N
39362,notify,N
39363,notion,N
39364,notional,N
39365,notionally,N
39366,notoriety,N
39367,notorious,N
39368,notoriously,N
39369,Nottingham,N
39370,Nottinghamshire,N
39371,notwithstanding,N
39372,nougat,N
39373,nought,N
39374,noughth week,N
39375,noughts and crosses,N
39376,noughts-and-crosses,N
39377,noun,N
39378,noun phrase,N
39379,noun-phrase,N
39380,nourish,N
39381,nourishing,N
39382,nourishment,N
39383,nous,N
39384,nouveau riche,N
39385,nouveau-riche_2,N
39386,nouvelle cuisine,N
39387,nouvelle-cuisine,N
39388,nova,N
39389,novel,N
39390,novelette,N
39391,novelist,N
39392,novelistic,N
39393,novella,N
39394,novelty,N
39395,November,N
39396,novice,N
39397,novitiate,N
39398,novocaine,N
39399,now,N
39400,nowadays,N
39401,nowhere,N
39402,no-win,N
39403,now-now,N
39404,nowt,N
39405,noxious,N
39406,nozzle,N
39407,NPC,N
39408,NPR,N
39409,NQ,N
39410,nr,N
39411,NRA,N
39412,NRI,N
39413,ns,N
39414,NSC,N
39415,NSFW,N
39416,nshima,N
39417,NST,N
39418,NSU,N
39419,NSW,N
39420,NT,N
39421,nth,N
39422,NTSC,N
39423,nu,N
39424,nuance,N
39425,nub,N
39426,nubile,N
39427,nubuck,N
39428,nuclear,N
39429,nuclear deterrent,N
39430,nuclear-deterrent,N
